t-2,t-1,t-0,t+1 (prediction)
10350.0,10100.0,10200.0,10250.0
10100.0,10200.0,10250.0,10500.0
10200.0,10250.0,10500.0,10500.0
10250.0,10500.0,10500.0,10550.0
10500.0,10500.0,10550.0,10650.0
10500.0,10550.0,10650.0,10600.0
10550.0,10650.0,10600.0,10600.0
10650.0,10600.0,10600.0,10500.0
10600.0,10600.0,10500.0,10650.0
10600.0,10500.0,10650.0,10650.0
10500.0,10650.0,10650.0,10450.0
10650.0,10650.0,10450.0,10300.0
10650.0,10450.0,10300.0,10250.0
10450.0,10300.0,10250.0,10300.0
10300.0,10250.0,10300.0,10200.0
10250.0,10300.0,10200.0,10150.0
10300.0,10200.0,10150.0,10050.0
10200.0,10150.0,10050.0,9850.0
10150.0,10050.0,9850.0,9900.0
10050.0,9850.0,9900.0,10000.0
9850.0,9900.0,10000.0,9900.0
9900.0,10000.0,9900.0,9900.0
10000.0,9900.0,9900.0,9500.0
9900.0,9900.0,9500.0,9250.0
9900.0,9500.0,9250.0,9000.0
9500.0,9250.0,9000.0,8650.0
9250.0,9000.0,8650.0,8900.0
9000.0,8650.0,8900.0,9150.0
8650.0,8900.0,9150.0,9150.0
8900.0,9150.0,9150.0,9150.0
9150.0,9150.0,9150.0,9200.0
9150.0,9150.0,9200.0,9350.0
9150.0,9200.0,9350.0,9400.0
9200.0,9350.0,9400.0,9500.0
9350.0,9400.0,9500.0,9600.0
9400.0,9500.0,9600.0,9500.0
9500.0,9600.0,9500.0,9450.0
9600.0,9500.0,9450.0,9600.0
9500.0,9450.0,9600.0,9500.0
9450.0,9600.0,9500.0,9300.0
9600.0,9500.0,9300.0,9200.0
9500.0,9300.0,9200.0,9100.0
9300.0,9200.0,9100.0,9150.0
9200.0,9100.0,9150.0,9250.0
9100.0,9150.0,9250.0,9200.0
9150.0,9250.0,9200.0,9300.0
9250.0,9200.0,9300.0,9600.0
9200.0,9300.0,9600.0,10800.0
9300.0,9600.0,10800.0,10550.0
9600.0,10800.0,10550.0,10800.0
10800.0,10550.0,10800.0,10600.0
10550.0,10800.0,10600.0,10600.0
10800.0,10600.0,10600.0,10350.0
10600.0,10600.0,10350.0,10500.0
10600.0,10350.0,10500.0,10650.0
10350.0,10500.0,10650.0,10800.0
10500.0,10650.0,10800.0,10900.0
10650.0,10800.0,10900.0,10850.0
10800.0,10900.0,10850.0,10850.0
10900.0,10850.0,10850.0,10800.0
10850.0,10850.0,10800.0,10850.0
10850.0,10800.0,10850.0,11000.0
10800.0,10850.0,11000.0,11450.0
10850.0,11000.0,11450.0,11500.0
11000.0,11450.0,11500.0,11500.0
11450.0,11500.0,11500.0,11250.0
11500.0,11500.0,11250.0,11450.0
11500.0,11250.0,11450.0,11500.0
11250.0,11450.0,11500.0,11550.0
11450.0,11500.0,11550.0,11600.0
11500.0,11550.0,11600.0,11750.0
11550.0,11600.0,11750.0,11900.0
11600.0,11750.0,11900.0,12450.0
11750.0,11900.0,12450.0,13100.0
11900.0,12450.0,13100.0,13250.0
12450.0,13100.0,13250.0,13150.0
13100.0,13250.0,13150.0,13150.0
13250.0,13150.0,13150.0,13250.0
13150.0,13150.0,13250.0,13100.0
13150.0,13250.0,13100.0,13100.0
13250.0,13100.0,13100.0,13150.0
13100.0,13100.0,13150.0,13100.0
13100.0,13150.0,13100.0,13050.0
13150.0,13100.0,13050.0,12900.0
13100.0,13050.0,12900.0,12900.0
13050.0,12900.0,12900.0,13000.0
12900.0,12900.0,13000.0,13150.0
12900.0,13000.0,13150.0,13150.0
13000.0,13150.0,13150.0,13050.0
13150.0,13150.0,13050.0,12950.0
13150.0,13050.0,12950.0,12950.0
13050.0,12950.0,12950.0,13000.0
12950.0,12950.0,13000.0,12850.0
12950.0,13000.0,12850.0,12700.0
13000.0,12850.0,12700.0,12500.0
12850.0,12700.0,12500.0,12650.0
12700.0,12500.0,12650.0,12850.0
12500.0,12650.0,12850.0,12800.0
12650.0,12850.0,12800.0,12700.0
12850.0,12800.0,12700.0,12700.0
12800.0,12700.0,12700.0,12650.0
12700.0,12700.0,12650.0,12600.0
12700.0,12650.0,12600.0,12700.0
12650.0,12600.0,12700.0,12700.0
12600.0,12700.0,12700.0,12700.0
12700.0,12700.0,12700.0,12700.0
12700.0,12700.0,12700.0,12700.0
12700.0,12700.0,12700.0,12700.0
12700.0,12700.0,12700.0,12700.0
12700.0,12700.0,12700.0,13200.0
12700.0,12700.0,13200.0,13500.0
12700.0,13200.0,13500.0,14000.0
13200.0,13500.0,14000.0,13900.0
13500.0,14000.0,13900.0,13550.0
14000.0,13900.0,13550.0,13900.0
13900.0,13550.0,13900.0,13900.0
13550.0,13900.0,13900.0,13950.0
13900.0,13900.0,13950.0,13900.0
13900.0,13950.0,13900.0,14000.0
13950.0,13900.0,14000.0,13900.0
13900.0,14000.0,13900.0,13950.0
14000.0,13900.0,13950.0,13450.0
13900.0,13950.0,13450.0,13500.0
13950.0,13450.0,13500.0,13550.0
13450.0,13500.0,13550.0,13700.0
13500.0,13550.0,13700.0,13600.0
13550.0,13700.0,13600.0,13600.0
13700.0,13600.0,13600.0,13600.0
13600.0,13600.0,13600.0,13600.0
13600.0,13600.0,13600.0,13800.0
13600.0,13600.0,13800.0,13600.0
13600.0,13800.0,13600.0,13600.0
13800.0,13600.0,13600.0,13700.0
13600.0,13600.0,13700.0,13800.0
13600.0,13700.0,13800.0,13950.0
13700.0,13800.0,13950.0,13800.0
13800.0,13950.0,13800.0,13750.0
13950.0,13800.0,13750.0,14350.0
13800.0,13750.0,14350.0,14600.0
13750.0,14350.0,14600.0,15000.0
14350.0,14600.0,15000.0,15000.0
14600.0,15000.0,15000.0,15350.0
15000.0,15000.0,15350.0,15650.0
15000.0,15350.0,15650.0,15800.0
15350.0,15650.0,15800.0,15700.0
15650.0,15800.0,15700.0,15750.0
15800.0,15700.0,15750.0,15700.0
15700.0,15750.0,15700.0,15900.0
15750.0,15700.0,15900.0,15600.0
15700.0,15900.0,15600.0,15600.0
15900.0,15600.0,15600.0,15400.0
15600.0,15600.0,15400.0,15100.0
15600.0,15400.0,15100.0,14800.0
15400.0,15100.0,14800.0,14800.0
15100.0,14800.0,14800.0,14800.0
14800.0,14800.0,14800.0,14200.0
14800.0,14800.0,14200.0,13650.0
